periodo,sede,lider,comportamiento,cumplimiento_estimado,observacion
2026-07,Sede Centro,Jefe demo - Centro,Buen coach,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Empodera al equipo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Crea un entorno inclusivo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Productivo y orientado a resultados,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Buen comunicador,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Apoya el desarrollo profesional,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Tiene visión clara,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Centro,Jefe demo - Centro,Posee habilidades técnicas relevantes,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Buen coach,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Empodera al equipo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Crea un entorno inclusivo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Productivo y orientado a resultados,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Buen comunicador,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Apoya el desarrollo profesional,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Tiene visión clara,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Norte,Jefe demo - Norte,Posee habilidades técnicas relevantes,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Buen coach,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Empodera al equipo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Crea un entorno inclusivo,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Productivo y orientado a resultados,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Buen comunicador,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Apoya el desarrollo profesional,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Tiene visión clara,50,Valor inicial demo: pendiente de evaluación real
2026-07,Sede Sur,Jefe demo - Sur,Posee habilidades técnicas relevantes,50,Valor inicial demo: pendiente de evaluación real
