fecha,sede,colaborador,lider,felicidad,seguridad_psicologica,claridad_objetivos,feedback_lider,carga_laboral,comentario
2026-07-01 16:48:49,Sede Centro,Anónimo,Jefe demo - Centro,3,3,3,3,3,
2026-07-01 16:49:00,Sede Centro,Anónimo,Jefe demo - Centro,3,3,3,3,3,Hollaaa
2026-07-02 11:36:00,Sede Centro,afawawf,Jefe demo - Centro,1,2,4,2,4,adwfa
2026-07-02 11:40:04,Sede Centro,Rododolfin,Jefe demo - Centro,1,1,1,1,1,Estoy muuuuuuy triste
2026-07-02 12:13:18,Sede Centro,juan,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:13:21,Sede Centro,a,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:13:22,Sede Centro,a,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:13:24,Sede Centro,a,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:13:26,Sede Centro,a,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:13:27,Sede Centro,a,Jefe demo - Centro,3,3,3,3,3,
2026-07-02 12:16:45,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:47,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:51,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:53,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:55,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:57,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:16:59,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:17:01,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 12:17:03,Sede Centro,Anónimo,Jefe demo - Centro,1,3,3,3,3,
2026-07-02 15:21:57,Sede Centro,Diana,Jefe demo - Centro,5,5,1,1,5,"Soy ana
"
2026-07-02 21:41:03,Sede Sur,Alonso,Jefe demo - Sur,5,5,5,5,2,Hoy mi jefe realizo una actividad d integracion
2026-07-02 21:41:35,Sede Sur,Rodolfo,Jefe demo - Sur,1,1,1,1,5,"No disfruto el trabajo ni le encuentro proposito
"
2026-07-03 16:48:44,Sede Centro,Donan,Jefe demo - Centro,2,3,3,3,3,"jefe griton 
"
2026-07-04 19:55:18,Sede Sur,Angela,Jefe demo - Sur,3,3,5,3,5,Durante el dia hubo muchos clientes en hora punta y el lider repartio la mayor carga de trabajo para mi porque mi compañeros son  nuevos pero acabe saturada en el dia.
